TradeDate,StockCode,IndexWeight,ClosePrice,Volume,Amount,PE_TTM,PB,TotalMarketCap,AnnounceDate,ReportPeriod,ROE,Revenue_YoY,NetProfit_YoY,momentum_5_raw,momentum_20_raw,momentum_60_raw,reversal_5_raw,volatility_20_raw,downside_vol_20_raw,drawdown_20_raw,turnover_proxy_20_raw,illiq_20_raw,roe_raw,size_log_mcap_raw,ep_ttm_raw,bp_inv_raw,revenue_yoy_raw,netprofit_yoy_raw
20231229,000408.SZ,0.115,163.9398,77098.04,195201.313,8.9842,3.2316,40048224749.82,20231020,20230930.0,24.2166,-26.6673,-28.7401,0.03217930249425782,0.06069466074098617,0.11042940629817566,-0.03217930249425782,0.01004684907326977,0.005088974094900768,0.0,5.07024387290057e-06,4.471507388435781e-08,24.2166,24.41335018363117,0.11130651588343982,0.3094442381482857,-26.6673,-28.7401
20231229,000425.SZ,0.223,228.7308,624400.98,340517.324,14.4314,1.1595,64516266867.78,20231031,20230930.0,8.8882,-4.5086,3.4954,0.07905120439299163,-0.016216267363896475,-0.14285746406163413,-0.07905120439299163,0.015155213430362658,0.008476988273191495,0.0,4.2591498927710394e-06,4.462150885610549e-08,8.8882,24.890183228451654,0.06929334645287359,0.8624407072013799,-4.5086,3.4954
20231229,000538.SZ,0.254,1357.9618,48325.73,237321.632,18.3239,2.2142,88315794283.35,20231031,20230930.0,10.5204,10.302,78.9008,0.013402059547627854,-0.023833158473787086,-0.07786113175833731,-0.013402059547627854,0.013282105317589185,0.010393505884755554,-0.016606635499413547,3.5111099588079268e-06,2.3313058905322655e-08,10.5204,25.204184799266983,0.05457353510988382,0.45163038569234937,10.302,78.9008
20231229,000568.SZ,0.76,6149.2798,78370.28,1409387.165,20.7724,6.8317,264104045513.98,20231031,20230930.0,29.0013,25.2093,28.5838,0.05244016463598089,-0.11178217527748568,-0.1718439819668176,-0.05244016463598089,0.023720454092369538,0.0160456311571986,-0.09580203915079888,6.365383012307188e-06,9.42240839494233e-09,29.0013,26.29960897424645,0.048140802218328164,0.14637645095657012,25.2093,28.5838
20231229,000596.SZ,0.219,818.0802,17937.0,418529.622,28.3996,5.9334,123058080000.0,20231028,20230930.0,19.4222,24.9754,45.3712,0.044508289109936205,-0.08125812172989999,-0.1434878425411753,-0.044508289109936205,0.017942287138695393,0.012802283861165477,-0.046448666726733756,2.5917496436461242e-06,3.8172527261432615e-08,19.4222,25.535922275991744,0.03521176354596544,0.16853743216368355,24.9754,45.3712
20231229,000617.SZ,0.079,41.1749,314124.44,169430.511,13.0935,0.6811,68267227026.6,20231031,20230930.0,5.3786,1.5414,5.9517,0.01886797121675543,-0.05096563184983205,-0.18428877931268117,-0.01886797121675543,0.013076515126902414,0.007564880566019683,-0.04761805632656091,2.737488322079592e-06,5.4719268359228454e-08,5.3786,24.946695649807427,0.07637377324626723,1.4682131845543973,1.5414,5.9517
20231229,000625.SZ,0.481,248.6306,2013427.41,3404767.634,15.4818,2.3749,166907974425.39,20231031,20230930.0,14.8443,26.7771,43.225,0.007784440118179026,-0.12252348972444782,0.2522323103663109,-0.007784440118179026,0.019684961149813714,0.01199559218257852,-0.12843089896581394,2.455709350261961e-05,3.958633680597818e-09,14.8443,25.840708446133604,0.0645919725096565,0.4210703608572993,26.7771,43.225
20231229,000651.SZ,0.834,6400.0327,329146.91,1055454.739,6.8897,1.6122,181162322687.97,20231031,20230930.0,19.2153,5.0976,9.7682,0.004057422378129116,-0.010153851774049705,-0.11377410937522503,-0.004057422378129116,0.018758666421945933,0.01572949086720189,-0.033353367485892016,6.391925207062281e-06,7.363643320557924e-09,19.2153,25.9226592767488,0.1451442007634585,0.6202704379109292,5.0976,9.7682
20231229,000661.SZ,0.272,1097.166,32546.41,477314.74,13.7593,2.7658,58998697542.0,20231024,20230930.0,18.3459,10.7346,4.2662,0.035511343929060635,-0.0823840121117021,0.04892088394303995,-0.035511343929060635,0.01479783449517244,0.008620317927530591,-0.05275470265918958,9.041012702140494e-06,2.2296389374534532e-08,18.3459,24.80078120504914,0.0726781158925236,0.3615590425916552,10.7346,4.2662
20231229,000708.SZ,0.082,56.2946,55795.69,78004.099,11.9371,1.9316,70862072177.52,20231028,20230930.0,11.9104,14.4394,-21.09,0.05484601143765122,-0.004959770358743731,-0.051990589725151914,-0.05484601143765122,0.01288382743629402,0.008312649455434227,-0.004253994421164808,1.061974982554992e-06,1.1384002067109451e-07,11.9104,24.984001179217803,0.08377244054251033,0.5177055290950507,14.4394,-21.09
20231229,000725.SZ,0.841,20.7478,4839620.97,1873698.998,44.7434,1.1657,146844863860.5,20231031,20230930.0,0.7665,-4.6927,-80.6816,0.04278117869384723,0.007752013289165749,0.010362795227660149,-0.04278117869384723,0.013417277698187936,0.00717709090321473,0.0,6.919494181772796e-06,1.074433211514138e-08,0.7665,25.712642518565698,0.02234966497852197,0.8578536501672815,-4.6927,-80.6816
20231229,000733.SZ,0.131,131.9631,64996.97,383604.056,12.6076,2.3658,32492988490.04,20231027,20230930.0,17.5254,5.7593,10.4525,0.02867131776902987,-0.086760553633218,-0.2733109391778408,-0.02867131776902987,0.022788088464236134,0.013754317798247583,-0.0900088128328087,1.1535459211326898e-05,4.969128201061905e-08,17.5254,24.204290164239147,0.07931723722199309,0.42268999915461997,5.7593,10.4525
20231229,000768.SZ,0.179,190.911,166668.43,372715.635,92.8835,3.7203,62227525388.27,20231031,20230930.0,4.8916,0.2392,22.2915,0.024267133220557735,0.018670095831643696,-0.014971671103080508,-0.024267133220557735,0.022619111533643856,0.010017144830797907,-0.005778028908371757,4.319294470262504e-06,7.354419557274365e-08,4.8916,24.8540632691619,0.010766174831913096,0.26879552724242667,0.2392,22.2915
20231229,000776.SZ,0.243,86.8591,170313.01,243133.251,12.8049,0.9723,108905342718.56,20231031,20230930.0,4.5635,2.8467,11.0,0.010607650725908968,-0.015162750407046066,-0.025903650263712996,-0.010607650725908968,0.00726399660781067,0.004362614579300081,-0.00970241739548805,2.582674546015942e-06,1.9315439691635223e-08,4.5635,25.413744926458378,0.07809510421791657,1.0284891494394734,2.8467,11.0
20231229,000786.SZ,0.136,263.2399,121081.72,281682.78,11.1239,1.746,39466903189.12,20231027,20230930.0,12.654,10.1368,17.3247,0.03730010272915951,0.013009737580966796,-0.22262899390600444,-0.03730010272915951,0.01882975420747501,0.010526394141262836,0.0,6.258251703901609e-06,5.7659643846144684e-08,12.654,24.398728263677818,0.08989652909501164,0.572737686139748,10.1368,17.3247
20231229,000792.SZ,0.499,117.5278,261249.18,416444.278,9.541,2.9195,86654382918.4,20231031,20230930.0,20.4115,-32.9288,-53.6503,0.04180229053646767,-0.0025020666663271296,-0.07051354040293001,-0.04180229053646767,0.017087409912417258,0.0070904687447536936,-0.015432688280137441,4.655873715402156e-06,2.8952339190629962e-08,20.4115,25.185193433691474,0.10481081647626035,0.3425244048638465,-32.9288,-53.6503
